package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.sirelon.marsroverphotos.feature.MarsImageComposable,MarsImageComposable,1,1,1,0,0,0,0,0,1,5,
com.sirelon.marsroverphotos.feature.PhotoStats,PhotoStats,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.feature.MarsImageFavoriteToggle,MarsImageFavoriteToggle,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.feature.NetworkImage,NetworkImage,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.StatsInfoText,StatsInfoText,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.favorite.FavoriteScreen,FavoriteScreen,1,1,1,0,0,0,1,0,2,5,
com.sirelon.marsroverphotos.feature.favorite.PopularScreen,PopularScreen,1,1,1,0,0,0,1,0,2,4,
com.sirelon.marsroverphotos.feature.favorite.FavoritePhotosContent,FavoritePhotosContent,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.feature.images.ImageScreen,ImageScreen,1,1,1,0,0,0,1,0,2,9,
com.sirelon.marsroverphotos.feature.images.ImagesPagerContent,ImagesPagerContent,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.feature.images.OnEvent,OnEvent,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.images.SaveIcon,SaveIcon,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.images.ShareIcon,ShareIcon,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.images.ImagesPager,ImagesPager,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.photos.EmptyPhotos,EmptyPhotos,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.feature.photos.RoverPhotosScreen,RoverPhotosScreen,1,1,1,0,0,0,1,0,2,7,
com.sirelon.marsroverphotos.feature.photos.RefreshButton,RefreshButton,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.feature.photos.PhotosList,PhotosList,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.photos.PhotoCard,PhotoCard,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.photos.SolDialog,SolDialog,1,1,1,0,0,0,0,0,1,4,
com.sirelon.marsroverphotos.feature.photos.SolChanger,SolChanger,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.photos.HeaderButton,HeaderButton,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.feature.rovers.RoversActivity.RoversBottomBar,RoversBottomBar,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.feature.rovers.RoversActivity.ComposableBannerAd,ComposableBannerAd,1,1,1,0,0,0,0,0,2,3,
com.sirelon.marsroverphotos.feature.rovers.RoversActivity.RoversNavHost,RoversNavHost,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.rovers.RoversContent,RoversContent,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.rovers.RoverItem,RoverItem,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.rovers.TitleText,TitleText,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.rovers.InfoText,InfoText,1,1,1,0,0,0,0,0,2,2,
com.sirelon.marsroverphotos.feature.settings.DefaultPreview,DefaultPreview,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.settings.AboutAppContent,AboutAppContent,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.settings.ThemeChanger,ThemeChanger,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.settings.LinkifyText,LinkifyText,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.ukraine.UkraineInfoScreen,UkraineInfoScreen,1,1,1,0,0,0,0,0,1,3,
com.sirelon.marsroverphotos.feature.ukraine.UkraineInfoContent,UkraineInfoContent,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.ukraine.UkraineBanner,UkraineBanner,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.feature.ukraine.PreviewBanner,PreviewBanner,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.ui.MarsRoverPhotosTheme,MarsRoverPhotosTheme,1,1,1,0,0,0,1,0,2,3,
com.sirelon.marsroverphotos.ui.CenteredColumn,CenteredColumn,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.ui.CenteredProgress,CenteredProgress,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.ui.MarsSnackbar,MarsSnackbar,1,1,1,0,0,0,0,0,1,2,
com.sirelon.marsroverphotos.ui.RadioButtonText,RadioButtonText,1,1,1,0,0,0,0,0,1,1,
com.sirelon.marsroverphotos.ui.NoScrollEffect,NoScrollEffect,1,1,1,0,0,0,0,0,1,2,
